Subject,Start Date,Start Time,End Date,End Time,Description,All Day Event
[ニャマルベール・ペルル] ゲーム,2026/01/19,21:00,2026/01/19,22:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] ゲーム,2026/01/20,21:00,2026/01/20,22:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] ゲーム,2026/01/21,21:00,2026/01/21,22:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] ゲーム,2026/01/23,,,2026/01/23,,にゃんたじあ！スケジュール(時間指定なし),True
[ニャマルベール・ペルル] コラボ,2026/01/25,15:00,2026/01/25,16:00,にゃんたじあ！スケジュール,False
[ニャマルベール・ペルル] メン限,2026/01/25,20:00,2026/01/25,21:00,にゃんたじあ！スケジュール,False
